"A BILE,""дуоденальная желчь, холедоходуоденальная желчь, желчь A, порция A""";;;;;;;;;;;
"A BILE,""дуоденальная желчь, холедоходуоденальная желчь, желчь A, порция A""";;;;;;;;;;;
"A DISK,""анизотропный диск, диск A""";;;;;;;;;;;
A,1) [abnormal] аномальный;" патологический	2) [absolute temperature] абсолютная температура	3) [artery] артерия";;;;;;;;;;
AARON'S SIGN,симптом Аарона (боль в надчревной или левой подреберной области при надавливании в точке Мак-Бернея; признак аппендицита);;;;;;;;;;
"AB,""1) [abdominal bloating] метеоризм, вздутие живота	2) [aspiration biopsy] аспирационная биопсия""";;;;;;;;;;;
ABACTERIAL THROMBOTIC ENDOCARDITIS,абактериальный пристеночный тромбэндокардит;;;;;;;;;;;
"ABACTERIAL,""стерильный, абактериальный, не содержащий бактерий, асептический""";;;;;;;;;;;
ABADIE'S SIGN,симптом Абади (отсутствие болезненности при сдавливании пяточного (ахиллова) сухожилия);;;;;;;;;;;
ABALIENATION,психическое расстройство;;;;;;;;;;;
"ABAPICAL,""абапикальный, направленный от верхушки";" базальный, расположенный у нижнего полюса""";;;;;;;;;;
ABAPTISTON,трепан конической формы;;;;;;;;;;;
ABAROGNOSIS,абарогнозия (потеря чувства веса предмета);;;;;;;;;;;
"ABARTHROSIS,""диартроз, сустав, синовиальное соединение, сочленение""";;;;;;;;;;;
ABARTICULAR GOUT,внесуставная подагра;;;;;;;;;;;
ABARTICULAR,внесуставной;;;;;;;;;;;
"ABARTICULATION,""1) вывих	2) диартроз, сустав, синовиальное соединение, сочленение""";;;;;;;;;;;
ABASEMENT,опущение; выпадение органа;;;;;;;;;;
ABASIA,абазия (неспособность ходить в связи с расстройствами координации или нарушениями движений нижних конечностей);;;;;;;;;;;
ABASIC,абазический;;;;;;;;;;;
"ABATE,""уменьшать, ослаблять, смягчать";" стихать, ослабевать""";;;;;;;;;;
"ABATEMENT,""уменьшение боли или выраженности симптома, ослабление боли или выраженности симптома, смягчение боли или выраженности симптома""";;;;;;;;;;;
ABATIC,абазический;;;;;;;;;;;
"ABAXIAL,""абаксиальный, направленный от оси""";;;;;;;;;;;
"ABDERHALDEN-FANCONI SYNDROME,""цистиноз, гликофосфаминный диабет, синдром Абдергальдена - Фанкони""";;;;;;;;;;;
ABDOMEN,живот;;;;;;;;;;;
ABDOMINAL ACTINOMYCOSIS,абдоминальный актиномикоз;;;;;;;;;;;
"ABDOMINAL ANGINA,""брюшная жаба, субдиафрагмальная стенокардия""";;;;;;;;;;;
ABDOMINAL AORTA,брюшная аорта;;;;;;;;;;;
ABDOMINAL AORTIC ANGIOGRAPHY,ангиография брюшной аорты;;;;;;;;;;;
"ABDOMINAL BALLOTTEMENT,""баллотирование головки плода, выявляемое через брюшную стенку""";;;;;;;;;;;
"ABDOMINAL BAND,- abdominal binder	бандаж-набрюшник";;;;;;;;;;;
ABDOMINAL BINDER,- abdominal band;;;;;;;;;;;
"ABDOMINAL BRAIN,""чревное сплетение, солнечное сплетение""";;;;;;;;;;;
"ABDOMINAL BREATHING,""брюшное дыхание, диафрагмальное дыхание""";;;;;;;;;;;
ABDOMINAL CANAL,паховый канал;;;;;;;;;;;
ABDOMINAL CAVITY,брюшная полость;;;;;;;;;;;
"ABDOMINAL CESAREAN SECTION,""абдоминальное кесарево сечение, брюшно-стеночное кесарево сечение""";;;;;;;;;;;
ABDOMINAL DECOMPRESSION,абдоминальная декомпрессия живота;;;;;;;;;;;
ABDOMINAL DELIVERY,родоразрешение путем кесарева сечения;;;;;;;;;;;
ABDOMINAL DEPRESSOR,шпатель для оттеснения внутренностей;;;;;;;;;;;
ABDOMINAL DISCOMFORT,желудочно-кишечный дискомфорт;;;;;;;;;;;
ABDOMINAL DROPSY,асцит (скопление транссудата в брюшной полости);;;;;;;;;;;
ABDOMINAL EPILEPSY,абдоминальная эпилепсия;;;;;;;;;;;
ABDOMINAL FISSURE,гастрошизис (врожденный мышечный дефект в стенке желудка);;;;;;;;;;;
ABDOMINAL HERNIA,грыжа брюшной стенки;;;;;;;;;;;
"ABDOMINAL HYSTERECTOMY,""абдоминальная гистерэктомия, брюшно-стеночная гистерэктомия""";;;;;;;;;;;
ABDOMINAL MEMBRANE,брюшина;;;;;;;;;;;
"ABDOMINAL MIGRAINE,""брюшная мигрень, брюшная астма""";;;;;;;;;;;
ABDOMINAL MURMUR,кишечный шум;;;;;;;;;;;
"ABDOMINAL PERITONEUM,""париетальная брюшина, пристеночная брюшина""";;;;;;;;;;;
ABDOMINAL POOL,объем крови в сосудах живота;;;;;;;;;;;
ABDOMINAL RAPHE,белая линия живота;;;;;;;;;;;
ABDOMINAL REFLEX,брюшной рефлекс;;;;;;;;;;;
ABDOMINAL REGIONS,области живота;;;;;;;;;;;
"ABDOMINAL RESPIRATION,""брюшное дыхание, диафрагмальное дыхание""";;;;;;;;;;;
ABDOMINAL RETRACTOR,зеркало для брюшной стенки; брюшной крючок;;;;;;;;;;
ABDOMINAL RIBS,ложные ребра;;;;;;;;;;;
ABDOMINAL RING,паховое кольцо;;;;;;;;;;;
"ABDOMINAL SECTION,""лапаротомия, чревосечение""";;;;;;;;;;;
ABDOMINAL SUPPORT,бандаж для живота;;;;;;;;;;;
"ABDOMINAL TAPPING,""точечный лапароцентез, абдоминальный парацентез, абдоминальная пункция, пункция живота""";;;;;;;;;;;
ABDOMINAL VERSION,наружный акушерский поворот;;;;;;;;;;;
ABDOMINAL ZONES,области живота;;;;;;;;;;;
ABDOMINAL,абдоминальный;;;;;;;;;;;
"ABDOMINOCENTESIS,""точечный лапароцентез, абдоминальная пункция, пункция живота, абдоминальный парацентез""";;;;;;;;;;;
ABDOMINOHYSTERECTOMY,абдоминогистерэктомия;;;;;;;;;;;
"ABDOMINOHYSTEROTOMY,""абдоминальное кесарево сечение, брюшно-стеночное кесарево сечение""";;;;;;;;;;;
ABDOMINOPERICARDIOSTOMY,абдоминоперикардиостомия;;;;;;;;;;;
ABDOMINOPERINEAL,брюшно-промежностный;;;;;;;;;;;
ABDOMINOPLASTY,абдоминопластика;;;;;;;;;;;
"ABDOMINOSCOPY,""перитонеоскопия, абдоминоскопия, лапароскопия""";;;;;;;;;;;
ABDOMINOSCROTAL,брюшно-мошоночный;;;;;;;;;;;
ABDOMINOTHORACIC,брюшно-грудной;;;;;;;;;;;
ABDOMINOVAGINAL,брюшно-влагалищный;;;;;;;;;;;
ABDOMINOVESICAL POUCH,углубление между передней стенкой мочевого пузыря и передней брюшной стенкой;;;;;;;;;;;
ABDUCE,отводить (о движении конечности);;;;;;;;;;;
"ABDUCENS,""отводящий нерв, VI черепной нерв""";;;;;;;;;;;
"ABDUCENT NERVE,""отводящий нерв, VI черепной нерв""";;;;;;;;;;;
ABDUCENT,отводящий (о мышце);;;;;;;;;;;
ABDUCT,отводить (о движении конечности);;;;;;;;;;;
"ABDUCTION SPLINT,""отводящая шина, абдукционная шина""";;;;;;;;;;;
"ABDUCTION,""отведение, абдукция""";;;;;;;;;;;
"ABDUCTOR,""абдуктор, отводящая мышца""";;;;;;;;;;;
"ABEL'S BACILLUS,""палочка озены, палочка Абеля - Левенберга""";;;;;;;;;;;
ABENTERIC,внекишечный;;;;;;;;;;;
ABEPITHYMIA,анорексия (отсутствие аппетита);;;;;;;;;;;
ABERRANCY,аберрантное проведение электрических импульсов (в сердце);;;;;;;;;;;
ABERRANT ARTERY,аберрантная артерия;;;;;;;;;;;
"ABERRANT COMPLEX,""аберрантный элемент (обычно комплекс QRS) электрокардиограммы, измененный элемент (обычно комплекс QRS) электрокардиограммы""";;;;;;;;;;;
"ABERRANT GOITER,""аберрантный зоб, добавочный зоб, эктопический зоб""";;;;;;;;;;;
ABERRANT PANCREAS,аберрантная поджелудочная железа;;;;;;;;;;;
"ABERRANT REST,""хористома (опухоль, исходящая из гетеротопной ткани - хористии)""";;;;;;;;;;;
